Year,Deaths,Emperor,Event,Location,Period
34,1,Tiberius,Stephen,Jerusalem,1st Century
43,1,Claudius,James the Greater,Jerusalem,1st Century
54,1,Nero,Philip the Apostle,Hieropolis,1st Century
60,1,Nero,Matthew the Apostle,Ethiopia,1st Century
64,100,Nero,Nero's Persecution,Rome,1st Century
68,1,Nero,Mark the Apostle,Alexandria,1st Century
72,3,Vespasian,"Jude, Simon, Thomas (apostles)",Jerusalem/Edessa/India,1st Century
81,100,Domitian,Domitian's Persecution,Roman Empire,1st Century
95,1,Domitian,John (exile),Patmos/Ephesus,1st Century
107,1,Trajan,Ignatius of Antioch,Rome,2nd Century
155,1,Antoninus Pius,Polycarp,Smyrna,2nd Century
165,7,Marcus Aurelius,Justin Martyr and companions,Rome,2nd Century
177,48,Marcus Aurelius,Lyon Persecution,Lyon (Gaul),2nd Century
203,5,Septimius Severus,Perpetua & Felicity,Carthage,3rd Century
250,100,Decius,Decius Persecution,Roman Empire,3rd Century
258,3,Valerian,Sixtus II & Lawrence,Rome/Carthage,3rd Century
303,1000,Diocletian,Diocletian Great Persecution,Roman Empire,4th Century
313,0,Constantine,Edict of Milan (end of persecution),Roman Empire,4th Century
335,100,Constantine II,Shapur II's Persecution,Persian Empire,4th Century
451,100,Theodosius II,Battle of Avarayr (Armenia),Armenia,5th Century
